Product Name,Features
EcoSmart Water Bottle,Self-cleaning stainless steel design with temperature display
GlowSkin Serum,Vitamin C & Hyaluronic Acid blend for radiant skin
SmartGrow Pot,IoT-enabled plant pot with automatic watering system
CalmWave Headphones,Noise-cancelling headphones with adaptive sound control
FlexDesk Pro,Adjustable standing desk with memory height presets
PureBrew Coffee Maker,Wi-Fi enabled brewer with customizable brew strength
AeroClean Air Purifier,HEPA filter with real-time air quality monitoring
SleepMate Pillow,Smart cooling pillow with sleep tracking sensors
VisionOne Glasses,AR-enabled smart glasses for navigation and notifications
ToneFit Band,Fitness tracker with heart rate and stress monitoring
